DC,FCOM
DC,FCOM2
DC,FCOMP
DC,FCOMP3
DC,FSUB
DC,FSUBR
DC,FSUBR
DC,FSUB
DC,FDIV
DC,FDIVR
DC,FDIVR
DC,FDIV
DD,FLD
DD,FFREE
DD,FISTTP
DD,FXCH4
DD,FST
DD,FST
DD,FSTP
DD,FSTP
DD,FRSTOR
DD,FUCOM
DD,FUCOM
DD,FUCOMP
DD,FUCOMP
DD,FNSAVE
DD,FSAVE
DD,FNSTSW
DD,FSTSW
DE,FIADD
DE,FADDP
DE,FADDP
DE,FIMUL
DE,FMULP
DE,FMULP
DE,FICOM
DE,FCOMP5
DE,FICOMP
DE,FCOMPP
DE,FISUB
DE,FSUBRP
DE,FSUBRP
DE,FISUBR
DE,FSUBP
DE,FSUBP
DE,FIDIV
DE,FDIVRP
DE,FDIVRP
DE,FIDIVR
DE,FDIVP
DE,FDIVP
DF,FILD
DF,FFREEP
DF,FISTTP
DF,FXCH7
DF,FIST
DF,FSTP8
DF,FISTP
DF,FSTP9
DF,FBLD
DF,FNSTSW
DF,FSTSW
DF,FILD
DF,FUCOMIP
DF,FBSTP
DF,FCOMIP
DF,FISTP
E0,LOOPNZ
,LOOPNE
E1,LOOPZ
,LOOPE
E2,LOOP
E3,JCXZ
,JECXZ
E4,IN
E5,IN
E6,OUT
E7,OUT
E8,CALL
E9,JMP
EA,JMPF
EB,JMP
EC,IN
ED,IN
EE,OUT
EF,OUT
,LOCK
F1,undefined
F1,INT1
,ICEBP
,REPNZ
,REPNE
,REP
,no mnemonic
,REPZ
,REPE
,REP
,no mnemonic
F4,HLT
F5,CMC
F6,TEST
F6,TEST
F6,NOT
F6,NEG
F6,MUL
F6,IMUL
F6,DIV
F6,IDIV
F7,TEST
F7,TEST
F7,NOT
F7,NEG
F7,MUL
F7,IMUL
F7,DIV
F7,IDIV
F8,CLC
F9,STC
FA,CLI
FB,STI
FC,CLD
FD,STD
FE,INC
FE,DEC
FF,INC
FF,DEC
FF,CALL
FF,CALLF
FF,JMP
FF,JMPF
FF,PUSH
