0,ADD
1,ADD
2,ADD
3,ADD
4,ADD
5,ADD
6,PUSH
7,POP
8,OR
9,OR
0A,OR
0B,OR
0C,OR
0D,OR
0E,PUSH
10,ADC
11,ADC
12,ADC
13,ADC
14,ADC
15,ADC
16,PUSH
17,POP
18,SBB
19,SBB
1A,SBB
1B,SBB
1C,SBB
1D,SBB
1E,PUSH
1F,POP
20,AND
21,AND
22,AND
23,AND
24,AND
25,AND
,ES
27,DAA
28,SUB
29,SUB
2A,SUB
2B,SUB
2C,SUB
2D,SUB
,CS
2F,DAS
30,XOR
31,XOR
32,XOR
33,XOR
34,XOR
35,XOR
,SS
37,AAA
38,CMP
39,CMP
3A,CMP
3B,CMP
3C,CMP
3D,CMP
,DS
3F,AAS
40+r,INC
48+r,DEC
50+r,PUSH
58+r,POP
60,PUSHA
60,PUSHAD
61,POPA
61,POPAD
62,BOUND
63,ARPL
,FS
,GS
,no mnemonic
,no mnemonic
,no mnemonic
68,PUSH
69,IMUL
6A,PUSH
6B,IMUL
6C,INS
,INSB
6D,INS
,INSW
6D,INS
,INSD
6E,OUTS
,OUTSB
6F,OUTS
,OUTSW
6F,OUTS
,OUTSD
70,JO
71,JNO
72,JB
,JNAE
,JC
73,JNB
,JAE
,JNC
74,JZ
,JE
75,JNZ
,JNE
76,JBE
,JNA
77,JNBE
,JA
78,JS
79,JNS
7A,JP
,JPE
7B,JNP
,JPO
7C,JL
,JNGE
7D,JNL
,JGE
7E,JLE
,JNG
7F,JNLE
,JG
80,ADD
80,OR
80,ADC
80,SBB
80,AND
80,SUB
80,XOR
80,CMP
81,ADD
81,OR
81,ADC
81,SBB
81,AND
81,SUB
81,XOR
81,CMP
82,ADD
82,OR
82,ADC
82,SBB
82,AND
82,SUB
82,XOR
82,CMP
83,ADD
83,OR
83,ADC
83,SBB
83,AND
83,SUB
83,XOR
83,CMP
84,TEST
85,TEST
86,XCHG
87,XCHG
88,MOV
89,MOV
8A,MOV
8B,MOV
8C,MOV
,MOV
8D,LEA
8E,MOV
8F,POP
90+r,XCHG
90,NOP
90,PAUSE
98,CBW
98,CWDE
99,CWD
99,CDQ
9A,CALLF
9B,FWAIT
,WAIT
,no mnemonic
9C,PUSHF
9C,PUSHFD
9D,POPF
9D,POPFD
9E,SAHF
9F,LAHF
A0,MOV
A1,MOV
A2,MOV
